arr_observation_id,article_id,company_id,observation_date,observation_status,date_parse_status,observation_year,observation_quarter,observation_month,arr_usd,revenue_raw,source_currency,company_match_status,source_file,parse_method_version,pipeline_run_id
5726515c-55ea-512d-8c38-c75ef7fb230f,ART0016,6e09eb1e-79ed-5163-8702-a611f7c20c68,2020-04-20,DATED,PARSED,2020,2,4,1030000000,$1.030B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
35ea3b57-dc70-5671-9f95-7c68faa034db,ART0017,7404b547-e172-5517-92d1-7c31c711048b,2021-07-24,DATED,PARSED,2021,3,7,3900000000,$3.900B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
d0ae97b2-5aab-533e-9d88-6b500fe3c8fa,ART0019,1eabfb03-492b-52d1-9f8f-afbd3e484ada,2023-01-15,DATED,PARSED,2023,1,1,790000000,"$790,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
a6a8744c-80bb-5442-ad23-bf4af39b3029,ART0020,9d4d58c5-91bd-5317-85a0-a0cd048740af,2023-10-14,DATED,PARSED,2023,4,10,379999999,"£299,212,598",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
c1607829-d044-52d1-8811-71f178f0118a,ART0021,30365688-fa79-5b90-b869-7fc216599069,2023-10-03,DATED,PARSED,2023,4,10,2400000000,"¥360,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
1e849222-bfc6-53fa-a0a9-bd0d0464c542,ART0022,9d4d58c5-91bd-5317-85a0-a0cd048740af,2020-07-23,DATED,PARSED,2020,3,7,170000000,$170.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
82f84481-a2dc-5ad8-8c99-85d685321d10,ART0023,245ee582-6dec-5cc1-a198-e4acaa865688,2021-09-11,DATED,PARSED,2021,3,9,930000000,$0.930 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
5561ec5c-75b9-556a-89e2-bb4149daf897,ART0024,30365688-fa79-5b90-b869-7fc216599069,2023-05-23,DATED,PARSED,2023,2,5,2150000000,$2.150B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
cc059f63-4094-5ae3-9c4b-7ad2c8bd705a,ART0028,a992e412-2b10-50bc-bf9c-23b7974ddb91,2020-11-22,DATED,PARSED,2020,4,11,12600000000,$12.600B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
6bdec039-94d7-5f07-9b62-d58ba6ecdaa3,ART0029,a992e412-2b10-50bc-bf9c-23b7974ddb91,2023-09-13,DATED,PARSED,2023,3,9,40500000000,"€36,818,181,818",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
ca81d3da-4be4-5a77-be9a-16c6e4d791d0,ART0031,bd719dfe-542a-55b1-b391-b5ab6875b1e2,2023-03-26,DATED,PARSED,2023,1,3,1200000000,"€1,090,909,091",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
5c7911c6-4556-51fe-a236-89c660bf7cb5,ART0033,7404b547-e172-5517-92d1-7c31c711048b,2022-02-15,DATED,PARSED,2022,1,2,5000000000,$5.000 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
c2e8095a-180c-50a4-b247-ebd9d9d3e133,ART0034,9d4d58c5-91bd-5317-85a0-a0cd048740af,2021-10-21,DATED,PARSED,2021,4,10,275000000,$275.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
72a056da-1a63-5043-a712-f7f027093274,ART0036,a992e412-2b10-50bc-bf9c-23b7974ddb91,2023-09-05,DATED,PARSED,2023,3,9,40500000000,$38475.0M - $42525.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
017968a5-152f-5b05-bc98-b5fe0995caf8,ART0038,dd92adee-a175-5086-8ee3-31cafbbd4d9a,2021-05-04,DATED,PARSED,2021,2,5,620000000,"€563,636,364",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
88961f9f-0e1b-5f3f-a26f-584b612a98c4,ART0039,f36a832f-cd27-58af-b8c6-fb63f6bea323,2022-02-23,DATED,PARSED,2022,1,2,61000000000,$57950.0M - $64050.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
ccfb4295-3d0a-5ad8-bdf0-d3e2c9ddad8e,ART0040,7404b547-e172-5517-92d1-7c31c711048b,2023-04-11,DATED,PARSED,2023,2,4,7600000000,$7.600 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
c307be26-439e-510e-b7f9-2aa36c780131,ART0041,9d4d58c5-91bd-5317-85a0-a0cd048740af,2022-09-26,DATED,PARSED,2022,3,9,305000000,"£240,157,480",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
7bbc5af9-c0b3-5e11-8900-39f31aab6701,ART0045,dd92adee-a175-5086-8ee3-31cafbbd4d9a,2020-08-22,DATED,PARSED,2020,3,8,455000000,$455.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
7fc47f4a-e66c-5a7b-96ed-7717081a674a,ART0046,1eabfb03-492b-52d1-9f8f-afbd3e484ada,2022-02-07,DATED,PARSED,2022,1,2,600000000,$0.600 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
fa18c6a5-ba0b-50af-848a-b7fdf2a3db3d,ART0049,a992e412-2b10-50bc-bf9c-23b7974ddb91,2021-07-25,DATED,PARSED,2021,3,7,16000000000,"¥2,400,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
eb44a0af-b4c8-51ea-9c90-5991c9e11b6d,ART0051,8d99fa8b-ca33-5878-9209-2b1f97f99f6b,2022-10-02,DATED,PARSED,2022,4,10,570000000,$0.570 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
6699fafe-890e-5b6e-8377-bdc26fe30256,ART0053,8f05416c-1b7c-5110-a049-ff66e663eccf,2023-01-02,DATED,PARSED,2023,1,1,2300000000,2300.0M USD,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
0faf65e4-4d3c-529d-a55d-51ca2766365e,ART0054,08256776-704b-50e0-92ce-c74e516f9c80,2021-04-10,DATED,PARSED,2021,2,4,54000000000,"$54,000,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
75dd439d-6636-58db-9840-8b40586d2b7f,ART0055,8d99fa8b-ca33-5878-9209-2b1f97f99f6b,2020-07-29,DATED,PARSED,2020,3,7,135000000,$135.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
0452c80b-6e80-51a0-b04f-4fa0bb98f9f2,ART0056,bd719dfe-542a-55b1-b391-b5ab6875b1e2,2022-03-31,DATED,PARSED,2022,1,3,700000000,$700.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
465a86bd-11e9-542d-9fd4-6b051ae40746,ART0058,bd719dfe-542a-55b1-b391-b5ab6875b1e2,2023-07-05,DATED,PARSED,2023,3,7,1400000000,$1330.0M - $1470.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
0472439a-348d-5e55-b4f6-6144888df10c,ART0059,6e09eb1e-79ed-5163-8702-a611f7c20c68,2023-05-01,DATED,PARSED,2023,2,5,1920000000,$1.920B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
53662404-983f-5915-b55a-a6f8f7d27aa4,ART0060,7404b547-e172-5517-92d1-7c31c711048b,2023-01-20,DATED,PARSED,2023,1,1,7000000000,$7000.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
9c81f651-99fe-58fe-be61-fbf063436e3d,ART0061,fa848049-e1a2-57f0-935a-4d48dcaddc61,2020-09-11,DATED,PARSED,2020,3,9,730000000,730.0M USD,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
e03842a3-d256-5500-a2db-ffb775933ffd,ART0066,a992e412-2b10-50bc-bf9c-23b7974ddb91,2020-11-20,DATED,PARSED,2020,4,11,12600000000,$12.600B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
599a5a6f-9ebb-541f-b967-5287328533fc,ART0068,f36a832f-cd27-58af-b8c6-fb63f6bea323,2021-07-19,DATED,PARSED,2021,3,7,55000000000,$55.000 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
1b62acb5-8d69-5252-9d58-046ff68af69b,ART0069,f36a832f-cd27-58af-b8c6-fb63f6bea323,2023-01-08,DATED,PARSED,2023,1,1,71000000000,$71.000B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
4eee629c-768f-5783-a28d-522481b102b2,ART0070,7404b547-e172-5517-92d1-7c31c711048b,2021-10-13,DATED,PARSED,2021,4,10,4300000000,$4300.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
423055c0-e654-50c8-b9a5-869976852c8b,ART0071,6e09eb1e-79ed-5163-8702-a611f7c20c68,2022-12-13,DATED,PARSED,2022,4,12,1700000000,"¥255,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
99ed32f0-7ef1-5524-8015-e483dc6d2d80,ART0072,8d99fa8b-ca33-5878-9209-2b1f97f99f6b,2021-11-03,DATED,PARSED,2021,4,11,340000000,$340.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
f4e4b92e-f5b5-57bf-8335-c393335cabf6,ART0073,5c86f678-723f-56ff-bd4b-8440df5459ba,2020-07-20,DATED,PARSED,2020,3,7,145000000,"$145,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
94add6b2-ea60-5af8-af8c-9ac54d1c6d1c,ART0074,7404b547-e172-5517-92d1-7c31c711048b,2021-05-15,DATED,PARSED,2021,2,5,3450000000,$3450.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
417ff17e-1142-5632-83ec-e42ade25d6dc,ART0075,dd92adee-a175-5086-8ee3-31cafbbd4d9a,2020-10-20,DATED,PARSED,2020,4,10,500000000,"¥75,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
dc0b452b-42e7-5fea-93c6-26477fcda853,ART0077,c9a9b7c2-97d1-5591-869e-b4f04eeab027,2021-08-28,DATED,PARSED,2021,3,8,4200000000,"$4,200,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
843a4819-d5d2-5565-993b-d3dfb88c51a2,ART0078,9d4d58c5-91bd-5317-85a0-a0cd048740af,2022-10-14,DATED,PARSED,2022,4,10,295000000,295.0M USD,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
4d57a074-4640-5fd6-8e2c-9f23f3b5396f,ART0079,8d99fa8b-ca33-5878-9209-2b1f97f99f6b,2023-07-09,DATED,PARSED,2023,3,7,735000000,$735.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
67589097-c9e7-5a29-99d0-0f23ae39c8ab,ART0080,ea56a6ce-74c8-5db9-a8e0-55f570076e47,2020-09-27,DATED,PARSED,2020,3,9,45500000000,$45.500 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
43fa58b4-9a02-5211-9306-7af2add6812b,ART0081,bd719dfe-542a-55b1-b391-b5ab6875b1e2,2020-06-03,DATED,PARSED,2020,2,6,145000000,"£114,173,228",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
968f11bd-73fc-5bc0-ad4b-1fe395726a6f,ART0082,c9a9b7c2-97d1-5591-869e-b4f04eeab027,2023-10-08,DATED,PARSED,2023,4,10,7400000000,"¥1,110,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
32cc173e-ff00-5614-8f86-2cb19cbaf477,ART0085,dd92adee-a175-5086-8ee3-31cafbbd4d9a,2022-04-15,DATED,PARSED,2022,2,4,875000000,"€795,454,545",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
124f993d-f5c0-51a7-9388-3defdf41135d,ART0086,5449894a-8967-53fd-96aa-711e4f2caebf,2021-07-19,DATED,PARSED,2021,3,7,45000000,"$45,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
b5d47410-ee98-5bc2-bdab-bfc71a7d83ff,ART0087,08256776-704b-50e0-92ce-c74e516f9c80,2023-02-09,DATED,PARSED,2023,1,2,82000000000,$82000.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
7bd2bb06-c350-5910-a2de-187341cf1ea0,ART0088,f36a832f-cd27-58af-b8c6-fb63f6bea323,2021-05-28,DATED,PARSED,2021,2,5,52500000000,$52.500B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
57148c01-b962-5577-8a6d-587dc4d3b95e,ART0090,9b997e26-b47f-511c-b401-d9b3a6ac9c4f,2023-06-13,DATED,PARSED,2023,2,6,1560000000,$1.560B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
7770959d-cc24-5988-aee6-e7415d7490be,ART0091,5c86f678-723f-56ff-bd4b-8440df5459ba,2021-10-21,DATED,PARSED,2021,4,10,410000000,"¥61,500,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
8d8844e0-d443-53a2-a1fe-d67bc5e627d2,ART0093,8f05416c-1b7c-5110-a049-ff66e663eccf,2021-10-02,DATED,PARSED,2021,4,10,1550000000,$1.550B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
302314d8-2bdf-54c7-ae4e-cefe234932a2,ART0094,c9a9b7c2-97d1-5591-869e-b4f04eeab027,2023-02-13,DATED,PARSED,2023,1,2,6600000000,"£5,196,850,394",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
f6b6db84-3059-5bff-898a-739f3c28f085,ART0096,1eabfb03-492b-52d1-9f8f-afbd3e484ada,2022-05-28,DATED,PARSED,2022,2,5,655000000,$0.655 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
18490e0e-6cd2-52e8-b1c3-0e54a22c834c,ART0097,5ed089c3-b138-5004-b73c-fbfc8d07c0ca,2020-10-20,DATED,PARSED,2020,4,10,95000000,$90.2M - $99.8M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
1af432f9-2dac-51c0-8118-10915ac8f65d,ART0099,6e09eb1e-79ed-5163-8702-a611f7c20c68,2022-05-18,DATED,PARSED,2022,2,5,1550000000,"£1,220,472,441",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
bc4651bb-f8f4-5712-8bd6-4cfc883c483e,ART0100,dd92adee-a175-5086-8ee3-31cafbbd4d9a,2023-09-28,DATED,PARSED,2023,3,9,1260000000,$1.260 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
a8e880cf-2d6e-5836-8230-ba8ecf9a3f2c,ART0101,8f05416c-1b7c-5110-a049-ff66e663eccf,2020-01-16,DATED,PARSED,2020,1,1,720000000,$720.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
d94be370-0b4b-5254-ae2a-e87adfc628d3,ART0102,5ed089c3-b138-5004-b73c-fbfc8d07c0ca,2020-06-08,DATED,PARSED,2020,2,6,75000000,$75.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
6aca2100-bcdf-5dff-9490-66e1c7296178,ART0104,8f05416c-1b7c-5110-a049-ff66e663eccf,2020-06-05,DATED,PARSED,2020,2,6,780000000,$780.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
1b2e2af1-f28c-5e97-bef1-e7c0a921f208,ART0108,6e09eb1e-79ed-5163-8702-a611f7c20c68,2023-08-27,DATED,PARSED,2023,3,8,2100000000,"¥315,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
4976f1d0-633d-548f-8734-f21300f02085,ART0109,9b997e26-b47f-511c-b401-d9b3a6ac9c4f,2020-12-19,DATED,PARSED,2020,4,12,650000000,"€590,909,091",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
d821070d-9bd1-5eb5-9b68-6bf673594391,ART0112,f36a832f-cd27-58af-b8c6-fb63f6bea323,2023-12-10,DATED,PARSED,2023,4,12,78000000000,"$78,000,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
8c0fd99d-a65b-53b1-a4c4-32ff48ce6151,ART0113,8f05416c-1b7c-5110-a049-ff66e663eccf,2021-01-28,DATED,PARSED,2021,1,1,1050000001,"€954,545,455",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
249f9543-fbb0-5b61-9312-edaaf758e6a5,ART0114,ea56a6ce-74c8-5db9-a8e0-55f570076e47,2023-11-19,DATED,PARSED,2023,4,11,95000000000,"¥14,250,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
4186850d-9c81-528a-828d-c838dc5f01fe,ART0115,a992e412-2b10-50bc-bf9c-23b7974ddb91,2021-05-04,DATED,PARSED,2021,2,5,15000000000,"£11,811,023,622",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
91b61fff-a66b-51c0-bd74-84bf84466bbb,ART0116,08256776-704b-50e0-92ce-c74e516f9c80,2020-10-10,DATED,PARSED,2020,4,10,26000000000,$24700.0M - $27300.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
d2fbb614-9fd4-514b-9e68-80d12a05193a,ART0117,ea56a6ce-74c8-5db9-a8e0-55f570076e47,2022-07-09,DATED,PARSED,2022,3,7,78000000000,"£61,417,322,835",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
d347cf14-38b0-533b-87cd-83be8e01327d,ART0118,c9a9b7c2-97d1-5591-869e-b4f04eeab027,2020-02-27,DATED,PARSED,2020,1,2,2600000000,"$2,600,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
0822cd30-b567-5d61-bfb8-c982f23f91c9,ART0119,dd92adee-a175-5086-8ee3-31cafbbd4d9a,2023-06-14,DATED,PARSED,2023,2,6,1180000000,$1.180B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
9c5c5aad-1eba-5c8c-8e65-3ca2771d16ba,ART0120,7404b547-e172-5517-92d1-7c31c711048b,2023-06-29,DATED,PARSED,2023,2,6,7600000000,$7220.0M - $7980.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
c48d58a0-ccb0-5cd4-a371-20577d829e0c,ART0121,7404b547-e172-5517-92d1-7c31c711048b,2023-06-13,DATED,PARSED,2023,2,6,7600000000,$7.600B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
6343f47c-368b-5068-9f62-656a63b1eb78,ART0122,245ee582-6dec-5cc1-a198-e4acaa865688,2022-03-10,DATED,PARSED,2022,1,3,1010000000,"$1,010,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
c0e84a06-7060-5694-9c2c-8ad89075ca9e,ART0124,6e09eb1e-79ed-5163-8702-a611f7c20c68,2021-08-23,DATED,PARSED,2021,3,8,1320000000,$1.320B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
550afcab-983d-5a85-b1ba-4026b4ba5f37,ART0126,9b997e26-b47f-511c-b401-d9b3a6ac9c4f,2020-06-18,DATED,PARSED,2020,2,6,540000000,"€490,909,091",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
b97367c6-caee-5745-a73d-77dfc4557d15,ART0128,30365688-fa79-5b90-b869-7fc216599069,2020-04-27,DATED,PARSED,2020,2,4,420000000,$420.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
2028a1a4-e191-5e2b-9167-579f00e74c74,ART0129,f36a832f-cd27-58af-b8c6-fb63f6bea323,2021-04-28,DATED,PARSED,2021,2,4,52500000000,"¥7,875,000,000,000",JPY,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
2c9035c6-2365-5933-ae47-bc56febc9ea8,ART0130,1eabfb03-492b-52d1-9f8f-afbd3e484ada,2022-12-20,DATED,PARSED,2022,4,12,735000000,"$735,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
fd41ddef-12c3-554a-9ab3-18fac7cebd6d,ART0131,245ee582-6dec-5cc1-a198-e4acaa865688,2021-06-20,DATED,PARSED,2021,2,6,890000000,$890.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
2a82a5f2-a3ad-5db0-b6c8-0c01f9c1f471,ART0132,5c86f678-723f-56ff-bd4b-8440df5459ba,2021-10-16,DATED,PARSED,2021,4,10,410000000,$410.0 million,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
1ad0048f-d937-5c65-8ca9-69d21a400832,ART0133,c9a9b7c2-97d1-5591-869e-b4f04eeab027,2021-04-04,DATED,PARSED,2021,2,4,3800000001,"€3,454,545,455",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
e2f820fa-5cbd-5666-99c5-c8afba9cc0a1,ART0137,9d4d58c5-91bd-5317-85a0-a0cd048740af,2020-07-10,DATED,PARSED,2020,3,7,170000000,170.0M USD,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
da5e2f54-5860-5e67-8e5c-75369a42812a,ART0138,8d99fa8b-ca33-5878-9209-2b1f97f99f6b,2021-06-26,DATED,PARSED,2021,2,6,260000000,$0.260 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
25ac2050-a735-58cd-a4ab-945bf1985413,ART0141,5449894a-8967-53fd-96aa-711e4f2caebf,2022-02-25,DATED,PARSED,2022,1,2,95000000,$95.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
8aad4da6-0ebd-5293-9ce4-63cb3fad4e50,ART0142,dd92adee-a175-5086-8ee3-31cafbbd4d9a,2022-10-15,DATED,PARSED,2022,4,10,1010000000,"$1,010,000,000",USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
bbe63390-6384-5f2c-9879-65856270d209,ART0144,245ee582-6dec-5cc1-a198-e4acaa865688,2022-01-12,DATED,PARSED,2022,1,1,1010000000,1010.0M USD,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
